date, value
2/1/71,639.35
3/1/71,666.87
4/1/71,704.91
5/1/71,676.13
6/1/71,668.36
7/1/71,651.09
8/1/71,668.84
9/1/71,672.61
10/1/71,646.79
11/1/71,639.83
12/1/71,698.87
1/1/72,727.96
2/1/72,764.19
3/1/72,779.09
4/1/72,796.52
5/1/72,801.94
6/1/72,785.16
7/1/72,767.39
8/1/72,778.79
9/1/72,774.94
10/1/72,775.06
11/1/72,789.38
12/1/72,792.08
1/1/73,758.72
2/1/73,706.45
3/1/73,682.79
4/1/73,622.62
5/1/73,588.54
6/1/73,575.08
7/1/73,617.29
8/1/73,585.28
9/1/73,619.27
10/1/73,608.14
11/1/73,512.81
12/1/73,502.25
1/1/74,512.81
2/1/74,503.17
3/1/74,485.89
4/1/74,455.49
5/1/74,415.36
6/1/74,390.21
7/1/74,356.6
8/1/74,313.97
9/1/74,276.96
10/1/74,321.32
11/1/74,307.7
12/1/74,290.13
1/1/75,337.11
2/1/75,350.04
3/1/75,361.35
4/1/75,373.69
5/1/75,393.15
6/1/75,408.65
7/1/75,386.33
8/1/75,366.29
9/1/75,342.66
10/1/75,353
11/1/75,358.7
12/1/75,352.01
1/1/76,394.08
2/1/76,407.16
3/1/76,408.06
4/1/76,404.19
5/1/76,392.22
6/1/76,400.3
7/1/76,402.41
8/1/76,393.33
9/1/76,398.81
10/1/76,392.75
11/1/76,395.46
12/1/76,423.33
1/1/77,411.11
2/1/77,402.77
3/1/77,398.17
4/1/77,400.54
5/1/77,398.99
6/1/77,413.58
7/1/77,415.28
8/1/77,411.71
9/1/77,413.49
10/1/77,398.47
11/1/77,419.41
12/1/77,425.77
1/1/78,406.08
2/1/78,406.08
3/1/78,421.61
4/1/78,453.69
5/1/78,469.3
6/1/78,464.48
7/1/78,483.93
8/1/78,514.93
9/1/78,502.99
10/1/78,416.81
11/1/78,428.37
12/1/78,438.65
1/1/79,463.65
2/1/79,446.49
3/1/79,475.13
4/1/79,477.07
5/1/79,462.6
6/1/79,480.83
7/1/79,486.6
8/1/79,513.15
9/1/79,506.03
10/1/79,453.62
11/1/79,478.37
12/1/79,496.04
1/1/80,523.26
2/1/80,504.12
3/1/80,411.6
4/1/80,435.09
5/1/80,462.93
6/1/80,480.28
7/1/80,522.99
8/1/80,548.55
9/1/80,562.72
10/1/80,572.17
11/1/80,612.79
12/1/80,590.23
1/1/81,572.26
2/1/81,567.1
3/1/81,597.75
4/1/81,612.29
5/1/81,626.39
6/1/81,599.35
7/1/81,581.56
8/1/81,533.81
9/1/81,486.26
10/1/81,526.17
11/1/81,540.88
12/1/81,524.46
1/1/82,502.81
2/1/82,477.46
3/1/82,467.93
4/1/82,489.82
5/1/82,469.02
6/1/82,444.52
7/1/82,432.1
8/1/82,457.78
9/1/82,482.45
10/1/82,544.97
11/1/82,596.57
12/1/82,599.39
1/1/83,639.25
2/1/83,670.18
3/1/83,696.23
4/1/83,748.18
5/1/83,783.25
6/1/83,806.31
7/1/83,765.98
8/1/83,734.56
9/1/83,741.63
10/1/83,684.18
11/1/83,710.46
12/1/83,692.32
1/1/84,663.02
2/1/84,620.82
3/1/84,615.16
4/1/84,604
5/1/84,566.68
6/1/84,581.63
7/1/84,555.41
8/1/84,613.43
9/1/84,599.11
10/1/84,590.33
11/1/84,579.34
12/1/84,590.57
1/1/85,664.98
2/1/85,674.98
3/1/85,660.59
4/1/85,660.81
5/1/85,682.22
6/1/85,692.81
7/1/85,703.54
8/1/85,693.94
9/1/85,651.42
10/1/85,677.43
11/1/85,725.03
12/1/85,748.24
1/1/86,771.33
2/1/86,827.93
3/1/86,867.06
4/1/86,888.26
5/1/86,924.86
6/1/86,932.24
7/1/86,853.85
8/1/86,878.76
9/1/86,801
10/1/86,823.35
11/1/86,819.89
12/1/86,794.57
1/1/87,887.71
2/1/87,958.38
3/1/87,965.57
4/1/87,932.95
5/1/87,927.13
6/1/87,941.98
7/1/87,962
8/1/87,1001
9/1/87,972.57
10/1/87,705.76
11/1/87,665.64
12/1/87,720.82
1/1/88,750.07
2/1/88,796.39
